,Open,High,Low,Close,Volume,Date,EMA_7,EMA_14,EMA_21,SMA_7,SMA_14,SMA_21,CUMLOGRET_1,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,GBP USD ,Gold in USD close,Gold in USD volume,Crude Futures_close,Crude Futures_volume,3M,FTSE_H-L,FTSE_O-C,GBP_USD_H-L,GBP_USD_O-C,Gold_H-L,Gold_O-C,Crude_H-L,Crude_O-C,Close_copy
31,5403.4,5501.4,5395.6,5466.4,673341300.0,2011-10-14,5372.352769633778,5306.628664087477,5284.390933849933,5385.857142857143,5261.435714285713,5244.666666666667,0.008764330200587476,37.699089750952226,0.0,0.0,4943.172237826365,5238.48,5533.787762173634,11.274559115378306,0.8859024874970742,1.574506,1666.75,68.0,112.915,1701.0,0.965,105.79999999999927,-63.0,0.01241200000000009,-0.00014899999999995472,28.0,-0.849999999999909,2.4350000000000023,-1.2500000000000142,5466.4
32,5466.4,5543.7,5405.2,5436.7,720599700.0,2011-10-17,5388.439577225334,5323.971508875814,5298.237212590849,5406.628571428571,5271.621428571429,5247.919047619047,0.003316324870020944,44.20613236551981,0.0,0.0,4939.663010537196,5247.335,5555.006989462804,11.726790436013864,0.8077384462762299,1.582629,1651.7,85.0,111.15,1582.0,0.96669,138.5,29.699999999999818,0.011318000000000161,7.500000000004725e-05,38.5,14.299999999999955,3.3100000000000023,-1.6300000000000097,5436.7
33,5436.7,5436.7,5348.6,5410.4,754537000.0,2011-10-18,5393.929682919001,5335.495307692372,5308.433829628044,5421.914285714285,5285.392857142857,5255.1,-0.0015329070052508957,46.702463389861805,38.545896529542716,8.156566860319092,4937.82048436786,5249.67,5561.51951563214,11.88072833652933,0.7577044246392194,1.574506,1646.0,22.0,108.39,1933.0,0.96825,88.09999999999945,26.300000000000182,0.018926999999999916,0.000148000000000037,18.0,13.299999999999955,3.5900000000000034,2.9099999999999966,5410.4
34,5410.4,5483.8,5410.4,5450.5,723007500.0,2011-10-19,5408.072262189251,5350.829266666723,5321.348936025494,5429.271428571427,5303.5142857142855,5259.233333333334,0.005851413302432321,51.32491688882055,34.53468002280117,16.790236866019384,4934.117941526065,5257.775,5581.432058473934,12.311559869866427,0.7977302594738888,1.57087,1611.9,92.0,109.76,1872.0,0.96975,73.40000000000055,-40.100000000000364,0.014159000000000033,-7.399999999990747e-05,34.5,31.299999999999955,2.780000000000001,-1.7600000000000051,5450.5
35,5450.5,5450.5,5363.2,5384.7,796890500.0,2011-10-20,5402.229196641938,5355.3453644444935,5327.10812365954,5427.7,5321.814285714286,5263.8190476190475,-0.006294335533775486,49.11259507873092,25.857886570169228,23.25470850856169,4962.756361779218,5274.93,5587.103638220782,11.836124392959977,0.675815614389524,1.57771,1635.1,32.0,109.56,1024.0,0.97406,87.30000000000018,65.80000000000018,0.011599000000000137,-9.999999999998899e-05,21.300000000000182,-9.0,2.5600000000000023,0.3499999999999943,5384.7
36,5384.7,5500.5,5384.7,5488.7,730196100.0,2011-10-21,5423.846897481453,5373.125982518562,5341.798294235945,5434.4,5351.328571428571,5285.109523809524,0.012835499026208487,55.11590311836153,25.48895568783987,29.62694743052166,4985.947126716531,5296.025,5606.102873283468,11.70983419766594,0.8106880828995164,1.579604,1667.35,193.5,110.24000000000001,1594.0,0.97856,115.80000000000018,-104.0,0.019997000000000043,0.0,41.549999999999955,-31.799999999999955,2.3149999999999977,0.4199999999999875,5488.7
37,5488.7,5552.8,5487.2,5548.1,677461300.0,2011-10-24,5454.9101731110895,5396.455851516087,5360.55299475995,5455.071428571428,5394.45,5308.028571428572,0.02359959251963974,63.92970966658049,27.442209788847066,36.48749987773343,5005.569167970729,5318.96,5632.350832029271,11.78391384892051,0.8655818495331705,1.594311,1699.6,355.0,110.92,2164.0,0.98169,65.60000000000036,-59.400000000000546,0.00974599999999981,-0.00017800000000001148,61.799999999999955,-54.59999999999991,2.069999999999993,0.4899999999999949,5548.1
38,5548.1,5574.1,5465.5,5525.5,777723200.0,2011-10-25,5472.557629833317,5413.661737980609,5375.5481770545,5463.5142857142855,5424.685714285714,5328.795238095238,0.01951780676285581,68.30372095459643,25.4529768614904,42.85074409310603,5004.820767094333,5330.530000000001,5656.239232905668,12.220519644600731,0.7993006956859383,1.599667,1722.7,135.0,108.91,2194.0,0.98475,108.60000000000036,22.600000000000364,0.006805999999999868,0.000128000000000128,14.699999999999818,-5.7000000000000455,2.0900000000000034,1.6599999999999966,5525.5
39,5525.5,5576.6,5498.5,5553.2,705184200.0,2011-10-26,5492.718222374988,5432.266839583194,5391.698342776818,5480.157142857142,5443.392857142857,5341.133333333333,0.02451840389466616,73.16194950270528,24.248964327679403,48.91298517502588,5012.159318067233,5347.3099999999995,5682.460681932766,12.535300251257807,0.8071603477168263,1.599846,1746.7,494.0,112.08,2726.0,0.98544,78.10000000000036,-27.699999999999818,0.014712999999999976,-5.100000000002325e-05,17.700000000000045,-28.90000000000009,2.519999999999996,-1.8999999999999915,5553.2
40,5553.2,5747.3,5553.2,5713.8,1454155000.0,2011-10-27,5547.988666781241,5469.804594305436,5420.980311615289,5523.5,5472.7071428571435,5364.761904761905,0.05302836716207434,88.9458955218488,32.02632827745833,56.919567244390464,5009.862020924974,5373.16,5736.457979075026,13.522693501590346,0.9688162605078152,1.595965,1746.2,158.0,109.91,1035.0,0.98544,194.10000000000036,-160.60000000000036,0.012909999999999977,-0.0003049999999999997,19.0,5.7999999999999545,1.3000000000000114,0.5100000000000051,5713.8
41,5713.8,5746.9,5685.0,5702.2,997001700.0,2011-10-28,5586.541500085931,5500.790648398044,5446.545737832081,5559.457142857143,5494.364285714286,5388.828571428571,0.05099613100364448,99.37325043118472,33.9629465494354,65.41030388174931,5029.855933090771,5401.844999999999,5773.834066909228,13.772667187200977,0.9037148221795618,1.608777,1728.6,202.0,109.725,1035.0,0.98669,61.899999999999636,11.600000000000364,0.007786999999999988,0.0,28.299999999999955,0.75,0.9249999999999972,0.11000000000001364,5702.2
42,5702.2,5702.2,5544.2,5544.2,1079784300.0,2011-10-31,5575.956125064448,5506.578561944972,5455.423398029164,5582.242857142858,5504.971428571428,5408.6238095238095,0.022896401989144614,93.80638318999536,22.716863446596832,71.08951974339853,5080.41503164282,5425.28,5770.144968357179,12.713259715892242,0.672415308760549,1.611188,1711.0,246.0,109.54,1035.0,0.98669,158.0,158.0,0.016750000000000043,0.00020799999999998597,37.59999999999991,-4.2999999999999545,0.5499999999999972,-0.29000000000000625,5544.2
43,5544.2,5544.2,5338.4,5421.6,1331043600.0,2011-11-01,5537.367093798337,5495.248087018976,5452.348543662876,5572.657142857142,5503.528571428572,5425.104761904762,0.0005350405559223432,78.59580192479098,6.005025745113954,72.59077617967702,5183.794486376729,5449.14,5714.485513623272,9.738986835473908,0.44810539732904564,1.608001,1728.7,294.0,109.34,1941.0,0.98869,205.80000000000018,122.59999999999945,0.019847999999999866,-0.00023200000000000998,18.200000000000045,-4.400000000000091,2.819999999999993,0.5,5421.6
